keyword,volume,cpc,competition,difficulty,word_count,char_count,is_long_tail,has_number,has_question_word,intent,opportunity_score,cluster,cluster_label
emailing marketing price,85.0,0.755,,28.111111111111114,3,24,0,0,0,Commercial,29.712882005874363,1,"marketing, email marketing, email"
software emailing marketing,5720.0,0.755,,91.55555555555556,3,27,0,0,0,Navigational,7.868905808430163,7,"software, marketing software, strategy"
emailing marketing course,94.0,0.755,,83.0,3,25,0,0,0,Navigational,7.7629704989830515,2,"course, marketing course, email marketing"
examples emailing marketing,104.0,0.755,,51.55555555555556,3,27,0,0,0,Informational,20.34701944194332,1,"marketing, email marketing, email"
emailing marketing app,151.0,0.755,,43.55555555555556,3,22,0,0,0,Navigational,23.576493918301026,1,"marketing, email marketing, email"
review emailing marketing,522.0,0.755,,89.33333333333334,3,25,0,0,0,Commercial,5.49804303546032,1,"marketing, email marketing, email"
checklist emailing marketing,2861.0,0.755,,37.333333333333336,3,28,0,0,0,Navigational,27.76486857164493,1,"marketing, email marketing, email"
emailing marketing template,4038.0,0.755,,24.11111111111111,3,27,0,0,0,Navigational,33.791873602512986,1,"marketing, email marketing, email"
emailing marketing ideas,5353.0,0.755,,59.88888888888889,3,24,0,0,0,Navigational,20.305420712899416,1,"marketing, email marketing, email"
strategy emailing marketing,3321.0,0.755,,97.22222222222221,3,27,0,0,0,Navigational,4.0977866144839545,1,"marketing, email marketing, email"
best marketing emails,315.0,0.755,,13.222222222222221,3,21,0,0,0,Commercial,35.81267436062721,1,"marketing, email marketing, email"
how to marketing emails,18.0,0.755,,58.111111111111114,4,23,1,0,1,Informational,17.670865199151677,1,"marketing, email marketing, email"
marketing emails free,244.0,0.755,,13.111111111111112,3,21,0,0,0,Navigational,35.81259353227597,1,"marketing, email marketing, email"
marketing emails for beginners,839.0,0.755,,48.888888888888886,4,30,1,0,0,Navigational,21.87461674952306,1,"marketing, email marketing, email"
tools marketing emails,2999.0,0.755,,2.4444444444444446,3,22,0,0,0,Navigational,41.806966206718855,1,"marketing, email marketing, email"
2026 marketing emails,525.0,0.755,,41.88888888888889,3,21,0,1,0,Navigational,24.47770216279285,1,"marketing, email marketing, email"
vs marketing emails,6736.0,0.755,,46.77777777777778,3,19,0,0,0,Commercial,26.41716730208234,0,"vs, sample, marketing sample"
guide marketing emails,647.0,0.755,,79.66666666666667,3,22,0,0,0,Informational,9.443099266908124,1,"marketing, email marketing, email"
marketing emails tips,316.0,0.755,,60.33333333333333,3,21,0,0,0,Informational,16.968857032701017,1,"marketing, email marketing, email"
marketing emails near me,108.0,0.755,,45.44444444444444,4,24,1,0,0,Commercial,22.793972352460763,1,"marketing, email marketing, email"
marketing emails price,58.0,0.755,,10.555555555555555,3,22,0,0,0,Commercial,36.71817208210386,1,"marketing, email marketing, email"
marketing emails software,232.0,0.755,,31.0,3,25,0,0,0,Navigational,28.64951257850142,7,"software, marketing software, strategy"
marketing emails course,1294.0,0.755,,15.333333333333336,3,23,0,0,0,Navigational,35.582176987548614,1,"marketing, email marketing, email"
marketing emails examples,282.0,0.755,,5.333333333333334,3,25,0,0,0,Informational,38.947535071080544,1,"marketing, email marketing, email"
app marketing emails,1842.0,0.755,,50.44444444444445,3,20,0,0,0,Navigational,21.88139239510467,1,"marketing, email marketing, email"
review marketing emails,136.0,0.755,,23.666666666666668,3,23,0,0,0,Commercial,31.522642726082843,1,"marketing, email marketing, email"
marketing emails checklist,4272.0,0.755,,37.333333333333336,3,26,0,0,0,Navigational,28.649729978894385,1,"marketing, email marketing, email"
template marketing emails,76.0,0.755,,92.44444444444446,3,25,0,0,0,Navigational,3.973904623876782,1,"marketing, email marketing, email"
marketing emails ideas,1621.0,0.755,,80.22222222222223,3,22,0,0,0,Navigational,9.831688533460508,1,"marketing, email marketing, email"
strategy marketing emails,436.0,0.755,,53.55555555555556,3,25,0,0,0,Navigational,19.755222126002014,1,"marketing, email marketing, email"
best email templates,3667.0,0.755,,64.0,3,20,0,0,0,Commercial,17.60365781868702,6,"templates, email templates, advertising"
email templates how to,230.0,0.755,,23.22222222222222,4,22,1,0,1,Informational,31.759369456576035,6,"templates, email templates, advertising"
email templates free,1474.0,0.755,,68.55555555555556,3,20,0,0,0,Navigational,14.40616907194456,6,"templates, email templates, advertising"
email templates for beginners,2835.0,0.755,,32.88888888888889,4,29,1,0,0,Navigational,29.526341319948223,6,"templates, email templates, advertising"
tools email templates,5518.0,0.755,,53.222222222222214,3,21,0,0,0,Navigational,23.075561605077187,6,"templates, email templates, advertising"
2026 email templates,141.0,0.755,,69.44444444444444,3,20,0,1,0,Navigational,13.21466719756298,6,"templates, email templates, advertising"
vs email templates,448.0,0.755,,72.55555555555556,3,18,0,0,0,Commercial,12.162747524221,6,"templates, email templates, advertising"
email templates guide,38.0,0.755,,80.1111111111111,3,21,0,0,0,Informational,8.883407529516663,6,"templates, email templates, advertising"
tips email templates,1049.0,0.755,,25.333333333333336,3,20,0,0,0,Informational,31.42853344057758,6,"templates, email templates, advertising"
near me email templates,147.0,0.755,,56.44444444444444,4,23,1,0,0,Commercial,18.418429896672478,6,"templates, email templates, advertising"
price email templates,12.0,0.755,,79.8888888888889,3,21,0,0,0,Commercial,8.955991388931068,6,"templates, email templates, advertising"
email templates software,18.0,0.755,,11.666666666666666,3,24,0,0,0,Navigational,36.24864297692945,6,"templates, email templates, advertising"
email templates course,701.0,0.755,,67.11111111111111,3,22,0,0,0,Navigational,14.4991857811158,6,"templates, email templates, advertising"
email templates examples,572.0,0.755,,36.44444444444444,3,24,0,0,0,Informational,26.684954416928335,6,"templates, email templates, advertising"
email templates app,320.0,0.755,,43.77777777777778,3,19,0,0,0,Navigational,23.593587720996233,6,"templates, email templates, advertising"
email templates review,3722.0,0.755,,78.0,3,22,0,0,0,Commercial,12.03814922719072,6,"templates, email templates, advertising"
email templates checklist,410.0,0.755,,95.1111111111111,3,25,0,0,0,Navigational,3.116694874305319,6,"templates, email templates, advertising"
email templates template,13246.0,0.755,,58.77777777777777,3,24,0,0,0,Navigational,25.69969583588387,6,"templates, email templates, advertising"
ideas email templates,474.0,0.755,,29.555555555555557,3,21,0,0,0,Navigational,29.379052553695477,6,"templates, email templates, advertising"
email templates strategy,122.0,0.755,,78.11111111111111,3,24,0,0,0,Navigational,9.73608531704958,6,"templates, email templates, advertising"
what is email advertising best,12.0,0.755,,83.66666666666667,5,30,1,0,1,Commercial,7.444880277819959,6,"templates, email templates, advertising"
what is email advertising how to,496.0,0.755,,2.8888888888888884,6,32,1,0,1,Informational,40.05951578376363,6,"templates, email templates, advertising"
what is email advertising free,308.0,0.755,,91.11111111111111,5,30,1,0,1,Informational,4.652728989443911,6,"templates, email templates, advertising"
for beginners what is email advertising,270.0,0.755,,60.55555555555555,6,39,1,0,1,Informational,16.851120783972668,6,"templates, email templates, advertising"
tools what is email advertising,43.0,0.755,,80.1111111111111,5,31,1,0,1,Informational,8.886543112107907,6,"templates, email templates, advertising"
2026 what is email advertising,542.0,0.755,,3.9999999999999996,5,30,1,1,1,Informational,39.64391869915864,6,"templates, email templates, advertising"
what is email advertising vs,3072.0,0.755,,15.555555555555555,5,28,1,0,1,Commercial,36.608301268106594,6,"templates, email templates, advertising"
guide what is email advertising,106.0,0.755,,98.0,5,31,1,0,1,Informational,1.7704958972020397,6,"templates, email templates, advertising"
tips what is email advertising,727.0,0.755,,88.44444444444444,5,30,1,0,1,Informational,5.98215747725694,6,"templates, email templates, advertising"
near me what is email advertising,1623.0,0.755,,98.0,6,33,1,0,1,Commercial,2.721831655385897,6,"templates, email templates, advertising"
what is email advertising price,766.0,0.755,,14.555555555555557,5,31,1,0,1,Commercial,35.56217057702421,6,"templates, email templates, advertising"
software what is email advertising,241.0,0.755,,64.88888888888889,5,34,1,0,1,Informational,15.099601071610111,6,"templates, email templates, advertising"
course what is email advertising,716.0,0.755,,47.44444444444445,5,32,1,0,1,Informational,22.3752591955562,6,"templates, email templates, advertising"
what is email advertising examples,447.0,0.755,,42.77777777777778,5,34,1,0,1,Informational,24.073231518813863,6,"templates, email templates, advertising"
app what is email advertising,388.0,0.755,,21.77777777777778,5,29,1,0,1,Informational,32.43623164423717,6,"templates, email templates, advertising"
review what is email advertising,75.0,0.755,,47.44444444444445,5,32,1,0,1,Commercial,21.973277507358542,6,"templates, email templates, advertising"
what is email advertising checklist,95.0,0.755,,64.77777777777777,5,35,1,0,1,Informational,15.052486504390192,6,"templates, email templates, advertising"
template what is email advertising,1021.0,0.755,,43.11111111111111,5,34,1,0,1,Informational,24.299863066955513,6,"templates, email templates, advertising"
ideas what is email advertising,19860.0,0.755,,88.66666666666666,5,31,1,0,1,Informational,17.89188893202774,6,"templates, email templates, advertising"
strategy what is email advertising,370.0,0.755,,31.444444444444443,5,34,1,0,1,Informational,28.55827688024202,6,"templates, email templates, advertising"
best what is email marketing,1094.0,0.755,,28.111111111111114,5,28,1,0,1,Commercial,30.345642572787686,1,"marketing, email marketing, email"
what is email marketing how to,253.0,0.755,,1.4444444444444442,6,30,1,0,1,Informational,40.48490424760688,1,"marketing, email marketing, email"
free what is email marketing,42.0,0.755,,60.111111111111114,5,28,1,0,1,Informational,16.885915995589652,1,"marketing, email marketing, email"
what is email marketing for beginners,4.0,0.755,,77.22222222222223,6,37,1,0,1,Informational,10.017641123451742,1,"marketing, email marketing, email"
what is email marketing tools,810.0,0.755,,64.11111111111111,5,29,1,0,1,Informational,15.767541481604946,3,"tools, marketing tools, free"
what is email marketing 2026,1321.0,0.755,,16.555555555555554,5,28,1,1,1,Informational,35.11022024465245,1,"marketing, email marketing, email"
vs what is email marketing,4644.0,0.755,,99.0,5,26,1,0,1,Commercial,4.216350657016374,0,"vs, sample, marketing sample"
what is email marketing guide,3313.0,0.755,,75.55555555555556,5,29,1,0,1,Informational,12.759436349004623,1,"marketing, email marketing, email"
what is email marketing tips,4217.0,0.755,,90.66666666666666,5,28,1,0,1,Informational,7.281905237057352,1,"marketing, email marketing, email"
what is email marketing near me,38.0,0.755,,58.666666666666664,6,31,1,0,1,Commercial,17.461185307294436,1,"marketing, email marketing, email"
what is email marketing price,123.0,0.755,,63.77777777777778,5,29,1,0,1,Commercial,15.470045766901164,1,"marketing, email marketing, email"
software what is email marketing,275.0,0.755,,36.666666666666664,5,32,1,0,1,Informational,26.40981192211947,7,"software, marketing software, strategy"
course what is email marketing,1090.0,0.755,,76.8888888888889,5,30,1,0,1,Informational,10.832022995603579,2,"course, marketing course, email marketing"
examples what is email marketing,354.0,0.755,,85.0,5,32,1,0,1,Informational,7.126020793727812,1,"marketing, email marketing, email"
what is email marketing app,106.0,0.755,,63.11111111111111,5,27,1,0,1,Informational,15.726051452757597,1,"marketing, email marketing, email"
what is email marketing review,1556.0,0.755,,92.77777777777779,5,30,1,0,1,Commercial,4.768703737552096,1,"marketing, email marketing, email"
what is email marketing checklist,534.0,0.755,,27.77777777777778,5,33,1,0,1,Informational,30.12779065590154,1,"marketing, email marketing, email"
template what is email marketing,536.0,0.755,,47.77777777777778,5,32,1,0,1,Informational,22.129044888938033,1,"marketing, email marketing, email"
ideas what is email marketing,695.0,0.755,,78.22222222222223,5,29,1,0,1,Informational,10.050978637561858,1,"marketing, email marketing, email"
strategy what is email marketing,1178.0,0.755,,55.333333333333336,5,32,1,0,1,Informational,19.509431471431725,7,"software, marketing software, strategy"
best email marketing tools,4521.0,0.755,,73.33333333333333,4,26,1,0,0,Commercial,14.405881991938404,3,"tools, marketing tools, free"
how to email marketing tools,213.0,0.755,,77.77777777777779,5,28,1,0,1,Informational,9.926486253543576,3,"tools, marketing tools, free"
email marketing tools free,1364.0,0.755,,41.11111111111111,4,26,1,0,0,Navigational,25.314964032714943,3,"tools, marketing tools, free"
for beginners email marketing tools,2728.0,0.755,,92.44444444444446,5,35,1,0,0,Navigational,5.6370176302733475,3,"tools, marketing tools, free"
tools email marketing tools,790.0,0.755,,10.88888888888889,4,27,1,0,0,Navigational,37.043888040128856,3,"tools, marketing tools, free"
2026 email marketing tools,47.0,0.755,,73.88888888888889,4,26,1,1,0,Navigational,11.377940467069791,3,"tools, marketing tools, free"
vs email marketing tools,579.0,0.755,,85.77777777777779,4,24,1,0,0,Commercial,6.956010899222741,3,"tools, marketing tools, free"
email marketing tools guide,603.0,0.755,,40.111111111111114,4,27,1,0,0,Informational,25.23772836232738,3,"tools, marketing tools, free"
tips email marketing tools,3114.0,0.755,,34.77777777777777,4,26,1,0,0,Informational,28.945751272984165,3,"tools, marketing tools, free"
near me email marketing tools,219.0,0.755,,27.444444444444443,5,29,1,0,0,Commercial,30.063582285986406,3,"tools, marketing tools, free"
price email marketing tools,75.0,0.755,,71.77777777777777,4,27,1,0,0,Commercial,12.23994417402521,3,"tools, marketing tools, free"
software email marketing tools,8769.0,0.755,,13.666666666666668,4,30,1,0,0,Navigational,40.936539628127164,3,"tools, marketing tools, free"
course email marketing tools,30.0,0.755,,49.66666666666667,4,28,1,0,0,Navigational,21.05616837514844,3,"tools, marketing tools, free"
email marketing tools examples,4923.0,0.755,,1.7777777777777775,4,30,1,0,0,Informational,43.280205054496754,3,"tools, marketing tools, free"
email marketing tools app,526.0,0.755,,95.88888888888889,4,25,1,0,0,Navigational,2.8783292793110973,3,"tools, marketing tools, free"
review email marketing tools,104.0,0.755,,23.555555555555554,4,28,1,0,0,Commercial,31.54701944194332,3,"tools, marketing tools, free"
email marketing tools checklist,831.0,0.755,,59.111111111111114,4,31,1,0,0,Navigational,17.78071092848818,3,"tools, marketing tools, free"
template email marketing tools,138.0,0.755,,15.555555555555555,4,30,1,0,0,Navigational,34.76834140356379,3,"tools, marketing tools, free"
ideas email marketing tools,718.0,0.755,,78.33333333333333,4,27,1,0,0,Navigational,10.020957873037146,3,"tools, marketing tools, free"
email marketing tools strategy,1030.0,0.755,,81.44444444444444,4,30,1,0,0,Navigational,8.972173782286415,3,"tools, marketing tools, free"
best images of email,209.0,0.755,,10.222222222222221,4,20,1,0,0,Commercial,36.94620000969281,5,"images, images email, email"
how to images of email,213.0,0.755,,3.555555555555555,5,22,1,0,1,Informational,39.61537514243247,5,"images, images email, email"
free images of email,116.0,0.755,,6.555555555555556,4,20,1,0,0,Navigational,38.354544840162305,5,"images, images email, email"
images of email for beginners,298.0,0.755,,11.11111111111111,5,29,1,0,0,Navigational,36.64645782426142,5,"images, images email, email"
images of email tools,1946.0,0.755,,30.22222222222223,4,21,1,0,0,Navigational,30.035501401891455,5,"images, images email, email"
images of email 2026,1065.0,0.755,,86.22222222222221,4,20,1,1,0,Navigational,7.083011749314025,5,"images, images email, email"
images of email vs,294.0,0.755,,43.11111111111111,4,18,1,0,0,Commercial,23.84394935818843,5,"images, images email, email"
guide images of email,87.0,0.755,,24.22222222222222,4,21,1,0,0,Informational,31.269691794466414,5,"images, images email, email"
images of email tips,101.0,0.755,,93.0,4,20,1,0,0,Informational,3.7673603146107917,5,"images, images email, email"
images of email near me,75.0,0.755,,4.777777777777779,5,23,1,0,0,Commercial,39.0399441740252,5,"images, images email, email"
images of email price,612.0,0.755,,3.111111111111111,4,21,1,0,0,Commercial,40.04337241099164,5,"images, images email, email"
images of email software,13.0,0.755,,59.0,4,24,1,0,0,Navigational,17.312174061004878,5,"images, images email, email"
course images of email,468.0,0.755,,16.222222222222225,4,22,1,0,0,Navigational,34.708623187919315,5,"images, images email, email"
examples images of email,105.0,0.755,,45.44444444444444,4,24,1,0,0,Informational,22.792091002906016,5,"images, images email, email"
app images of email,5870.0,0.755,,31.888888888888893,4,19,1,0,0,Navigational,31.82963995283419,5,"images, images email, email"
review images of email,783.0,0.755,,31.77777777777778,4,22,1,0,0,Commercial,28.683942668945555,5,"images, images email, email"
images of email checklist,672.0,0.755,,16.555555555555554,4,25,1,0,0,Navigational,34.703221624308796,5,"images, images email, email"
template images of email,5027.0,0.755,,88.99999999999999,4,24,1,0,0,Navigational,8.456536283505775,5,"images, images email, email"
ideas images of email,410.0,0.755,,17.333333333333336,4,21,1,0,0,Navigational,34.227805985416424,5,"images, images email, email"
strategy images of email,57.0,0.755,,99.33333333333334,4,24,1,0,0,Navigational,1.2064338544744981,5,"images, images email, email"
best email images,410.0,0.755,,53.666666666666664,3,17,0,0,0,Commercial,19.694472652083096,5,"images, images email, email"
how to email images,321.0,0.755,,29.444444444444446,4,19,1,0,1,Informational,29.327548170847813,5,"images, images email, email"
free email images,27.0,0.755,,23.111111111111114,3,17,0,0,0,Navigational,31.676509247815915,5,"images, images email, email"
for beginners email images,427.0,0.755,,39.66666666666667,4,26,1,0,0,Navigational,25.305133632893323,5,"images, images email, email"
tools email images,2782.0,0.755,,98.33333333333333,3,18,0,0,0,Navigational,3.3153263667032515,5,"images, images email, email"
email images 2026,558.0,0.755,,52.0,3,17,0,1,0,Navigational,20.453952563450624,5,"images, images email, email"
email images vs,157.0,0.755,,68.22222222222223,3,15,0,0,0,Commercial,13.71358995074385,5,"images, images email, email"
email images guide,73.0,0.755,,85.88888888888889,3,18,0,0,0,Informational,6.594245496544267,5,"images, images email, email"
tips email images,70.0,0.755,,87.88888888888889,3,17,0,0,0,Informational,5.792364146989519,5,"images, images email, email"
email images near me,338.0,0.755,,78.33333333333333,4,20,1,0,0,Commercial,9.782653596102493,5,"images, images email, email"
price email images,74.0,0.755,,79.77777777777777,3,18,0,0,0,Commercial,9.039317057506961,5,"images, images email, email"
email images software,3433.0,0.755,,97.88888888888889,3,21,0,0,0,Navigational,3.901356997861183,5,"images, images email, email"
email images course,5600.0,0.755,,31.888888888888893,3,19,0,0,0,Navigational,31.660318492906935,5,"images, images email, email"
examples email images,1446.0,0.755,,93.55555555555556,3,21,0,0,0,Informational,4.388609809433586,5,"images, images email, email"
email images app,1576.0,0.755,,13.111111111111112,3,16,0,0,0,Navigational,36.64791273458374,5,"images, images email, email"
email images review,763.0,0.755,,24.333333333333332,3,19,0,0,0,Commercial,31.64917811635835,5,"images, images email, email"
email images checklist,369.0,0.755,,20.22222222222222,3,22,0,0,0,Navigational,33.046538652612654,5,"images, images email, email"
email images template,219.0,0.755,,4.555555555555555,3,21,0,0,0,Navigational,39.219137841541965,5,"images, images email, email"
email images ideas,1195.0,0.755,,11.11111111111111,3,18,0,0,0,Navigational,37.208981341130844,5,"images, images email, email"
email images strategy,289.0,0.755,,90.11111111111111,3,21,0,0,0,Navigational,5.040813775597173,5,"images, images email, email"
best image for email,76.0,0.755,,13.777777777777775,4,20,1,0,0,Commercial,35.44057129054345,1,"marketing, email marketing, email"
image for email how to,211.0,0.755,,61.66666666666667,5,22,1,0,1,Informational,16.369676464951525,1,"marketing, email marketing, email"
free image for email,218.0,0.755,,85.22222222222223,4,20,1,0,0,Navigational,6.951844058357043,1,"marketing, email marketing, email"
for beginners image for email,110.0,0.755,,40.44444444444444,5,29,1,0,0,Navigational,24.79522658549726,1,"marketing, email marketing, email"
tools image for email,323.0,0.755,,12.11111111111111,4,21,1,0,0,Navigational,36.26213573721764,1,"marketing, email marketing, email"
2026 image for email,59.0,0.755,,18.0,4,20,1,1,0,Navigational,33.74102142084433,1,"marketing, email marketing, email"
image for email vs,928.0,0.755,,85.1111111111111,4,18,1,0,0,Commercial,7.441541230758343,0,"vs, sample, marketing sample"
guide image for email,95.0,0.755,,24.444444444444443,4,21,1,0,0,Informational,31.18581983772352,1,"marketing, email marketing, email"
image for email tips,109.0,0.755,,51.77777777777778,4,20,1,0,0,Informational,20.261266135645677,1,"marketing, email marketing, email"
image for email near me,312.0,0.755,,13.222222222222221,5,23,1,0,0,Commercial,35.81079301107246,1,"marketing, email marketing, email"
image for email price,790.0,0.755,,16.333333333333332,4,21,1,0,0,Commercial,34.86611026235107,1,"marketing, email marketing, email"
software image for email,71.0,0.755,,11.888888888888888,4,24,1,0,0,Navigational,36.192991263507764,7,"software, marketing software, strategy"
course image for email,1524.0,0.755,,40.0,4,22,1,0,0,Navigational,25.859747120079234,1,"marketing, email marketing, email"
examples image for email,667.0,0.755,,74.11111111111111,4,24,1,0,0,Informational,11.677863819495329,1,"marketing, email marketing, email"
image for email app,794.0,0.755,,5.0,4,19,1,0,0,Navigational,39.401952061757406,1,"marketing, email marketing, email"
image for email review,195.0,0.755,,79.33333333333334,4,22,1,0,0,Commercial,9.292975933992869,1,"marketing, email marketing, email"
image for email checklist,491.0,0.755,,0.22222222222222243,4,25,1,0,0,Navigational,41.123046867839044,1,"marketing, email marketing, email"
template image for email,274.0,0.755,,12.888888888888891,4,24,1,0,0,Navigational,35.92029591671233,1,"marketing, email marketing, email"
image for email ideas,344.0,0.755,,31.888888888888893,4,21,1,0,0,Navigational,28.36419407298976,1,"marketing, email marketing, email"
strategy image for email,2115.0,0.755,,47.333333333333336,4,24,1,0,0,Navigational,23.297039649031113,1,"marketing, email marketing, email"
best e mail marketing meaning,40.0,0.755,,84.55555555555556,5,29,1,0,0,Commercial,7.106883984775375,1,"marketing, email marketing, email"
e mail marketing meaning how to,49.0,0.755,,99.22222222222223,6,31,1,0,1,Informational,1.245861366772948,1,"marketing, email marketing, email"
free e mail marketing meaning,195.0,0.755,,36.666666666666664,5,29,1,0,0,Informational,26.359642600659537,1,"marketing, email marketing, email"
for beginners e mail marketing meaning,342.0,0.755,,50.888888888888886,6,38,1,0,0,Informational,20.76293983995327,1,"marketing, email marketing, email"
tools e mail marketing meaning,1388.0,0.755,,40.77777777777778,5,30,1,0,0,Informational,25.46334816248625,1,"marketing, email marketing, email"
e mail marketing meaning 2026,405.0,0.755,,65.55555555555556,5,29,1,1,0,Informational,14.935781513936291,1,"marketing, email marketing, email"
vs e mail marketing meaning,712.0,0.755,,77.77777777777779,5,27,1,0,0,Commercial,10.239417396149868,0,"vs, sample, marketing sample"
guide e mail marketing meaning,84.0,0.755,,27.555555555555557,5,30,1,0,0,Informational,29.93447711157834,1,"marketing, email marketing, email"
e mail marketing meaning tips,1022.0,0.755,,20.22222222222222,5,29,1,0,0,Informational,33.45604573902931,1,"marketing, email marketing, email"
near me e mail marketing meaning,17.0,0.755,,25.555555555555554,6,32,1,0,0,Commercial,30.69246030485565,1,"marketing, email marketing, email"
price e mail marketing meaning,1935.0,0.755,,68.55555555555556,5,30,1,0,0,Commercial,14.695269786857388,1,"marketing, email marketing, email"
e mail marketing meaning software,182.0,0.755,,44.44444444444444,5,33,1,0,0,Informational,23.240378974811193,1,"marketing, email marketing, email"
course e mail marketing meaning,1114.0,0.755,,49.0,5,31,1,0,0,Informational,22.002629347597118,1,"marketing, email marketing, email"
examples e mail marketing meaning,128.0,0.755,,92.33333333333333,5,33,1,0,0,Informational,4.050959127270186,1,"marketing, email marketing, email"
app e mail marketing meaning,777.0,0.755,,76.22222222222221,5,28,1,0,0,Informational,10.902402192058288,1,"marketing, email marketing, email"
e mail marketing meaning review,51.0,0.755,,28.888888888888886,5,31,1,0,0,Commercial,29.380448933142784,1,"marketing, email marketing, email"
e mail marketing meaning checklist,786.0,0.755,,81.55555555555556,5,34,1,0,0,Informational,8.77471290738919,1,"marketing, email marketing, email"
template e mail marketing meaning,153.0,0.755,,79.77777777777777,5,33,1,0,0,Informational,9.088859262448638,1,"marketing, email marketing, email"
ideas e mail marketing meaning,359.0,0.755,,39.0,5,30,1,0,0,Informational,25.529156376319058,1,"marketing, email marketing, email"
strategy e mail marketing meaning,102.0,0.755,,62.0,5,33,1,0,0,Informational,16.167987431129045,1,"marketing, email marketing, email"
best email marketing examples,3473.0,0.755,,79.11111111111111,4,29,1,0,0,Commercial,11.437552769702254,1,"marketing, email marketing, email"
email marketing examples how to,476.0,0.755,,83.22222222222223,5,31,1,0,1,Informational,7.913640120065307,1,"marketing, email marketing, email"
email marketing examples free,266.0,0.755,,68.66666666666667,4,29,1,0,0,Informational,13.604167873455223,1,"marketing, email marketing, email"
for beginners email marketing examples,150.0,0.755,,9.555555555555555,5,38,1,0,0,Informational,37.17586680178277,1,"marketing, email marketing, email"
tools email marketing examples,1738.0,0.755,,42.44444444444444,4,30,1,0,0,Informational,25.016172277206767,3,"tools, marketing tools, free"
